,Hostname,Application,Utilization(bps),Timestamp
1791,vdevice-host-name,dns,301.75,19-01-2019 6:15
1798,vdevice-host-name,dns,262.5,19-01-2019 6:20
1801,vdevice-host-name,dns,324.125,19-01-2019 6:25
1812,vdevice-host-name,dns,332.25,19-01-2019 6:30
1813,vdevice-host-name,dns,52.5,19-01-2019 6:35
1820,vdevice-host-name,dns,303.25,19-01-2019 6:40
1829,vdevice-host-name,dns,266.75,19-01-2019 6:45
1834,vdevice-host-name,dns,262.5,19-01-2019 6:50
1847,vdevice-host-name,dns,75.75,19-01-2019 6:55
1851,vdevice-host-name,dns,294.25,19-01-2019 7:00
1858,vdevice-host-name,dns,160.5,19-01-2019 7:05
1862,vdevice-host-name,dns,250.75,19-01-2019 7:10
1874,vdevice-host-name,dns,319.25,19-01-2019 7:15
1880,vdevice-host-name,dns,303.5,19-01-2019 7:20
1887,vdevice-host-name,dns,327.125,19-01-2019 7:25
1893,vdevice-host-name,dns,402.25,19-01-2019 7:30
1897,vdevice-host-name,dns,286,19-01-2019 7:35
1908,vdevice-host-name,dns,198.25,19-01-2019 7:40
1915,vdevice-host-name,dns,319.25,19-01-2019 7:45
1920,vdevice-host-name,dns,245,19-01-2019 7:50
1926,vdevice-host-name,dns,87.5,19-01-2019 7:55
1938,vdevice-host-name,dns,177.5,19-01-2019 8:00
1940,vdevice-host-name,dns,210,19-01-2019 8:05
1952,vdevice-host-name,dns,487.875,19-01-2019 8:10
1959,vdevice-host-name,dns,342.5,19-01-2019 8:15
1960,vdevice-host-name,dns,52.5,19-01-2019 8:20
1971,vdevice-host-name,dns,283.375,19-01-2019 8:25
1975,vdevice-host-name,dns,250.5,19-01-2019 8:30
1985,vdevice-host-name,dns,318,19-01-2019 8:35
1990,vdevice-host-name,dns,70,19-01-2019 8:40
2001,vdevice-host-name,dns,328.25,19-01-2019 8:45
2006,vdevice-host-name,dns,384.75,19-01-2019 8:50
2011,vdevice-host-name,dns,175,19-01-2019 8:55
2021,vdevice-host-name,dns,52.5,19-01-2019 9:00
2027,vdevice-host-name,dns,230,19-01-2019 9:05
2030,vdevice-host-name,dns,230.5,19-01-2019 9:10
2038,vdevice-host-name,dns,217.5,19-01-2019 9:15
2048,vdevice-host-name,dns,247.5,19-01-2019 9:20
2055,vdevice-host-name,dns,321.375,19-01-2019 9:25
2062,vdevice-host-name,dns,283,19-01-2019 9:30
2067,vdevice-host-name,dns,230,19-01-2019 9:35
2076,vdevice-host-name,dns,87.5,19-01-2019 9:40
2085,vdevice-host-name,dns,235,19-01-2019 9:45
2092,vdevice-host-name,dns,177.5,19-01-2019 9:50
2095,vdevice-host-name,dns,105,19-01-2019 9:55
2106,vdevice-host-name,dns,227.5,19-01-2019 10:00
2112,vdevice-host-name,dns,142.5,19-01-2019 10:05
2120,vdevice-host-name,dns,210,19-01-2019 10:10
2122,vdevice-host-name,dns,217.5,19-01-2019 10:15
2134,vdevice-host-name,dns,230,19-01-2019 10:20
2137,vdevice-host-name,dns,356.375,19-01-2019 10:25
2145,vdevice-host-name,dns,105,19-01-2019 10:30
2151,vdevice-host-name,dns,195,19-01-2019 10:35
2156,vdevice-host-name,dns,35,19-01-2019 10:40
2167,vdevice-host-name,dns,270,19-01-2019 10:45
2176,vdevice-host-name,dns,160,19-01-2019 10:50
2180,vdevice-host-name,dns,105,19-01-2019 10:55
2184,vdevice-host-name,dns,140,19-01-2019 11:00
2193,vdevice-host-name,dns,209.75,19-01-2019 11:05
2200,vdevice-host-name,dns,215.75,19-01-2019 11:10
2209,vdevice-host-name,dns,287.5,19-01-2019 11:15
2215,vdevice-host-name,dns,387.75,19-01-2019 11:20
2220,vdevice-host-name,dns,289.125,19-01-2019 11:25
2229,vdevice-host-name,dns,335.5,19-01-2019 11:30
2238,vdevice-host-name,dns,227.25,19-01-2019 11:35
2244,vdevice-host-name,dns,180.75,19-01-2019 11:40
2248,vdevice-host-name,dns,217.5,19-01-2019 11:45
2255,vdevice-host-name,dns,262.25,19-01-2019 11:50
2264,vdevice-host-name,dns,326.75,19-01-2019 11:55
2268,vdevice-host-name,dns,122.5,19-01-2019 12:00
2281,vdevice-host-name,dns,136.75,19-01-2019 12:05
2287,vdevice-host-name,dns,198.5,19-01-2019 12:10
2290,vdevice-host-name,dns,433.25,19-01-2019 12:15
2302,vdevice-host-name,dns,154.25,19-01-2019 12:20
2307,vdevice-host-name,dns,365.125,19-01-2019 12:25
2311,vdevice-host-name,dns,415.875,19-01-2019 12:30
2317,vdevice-host-name,dns,990.875,19-01-2019 12:35
2329,vdevice-host-name,dns,122.5,19-01-2019 12:40
2337,vdevice-host-name,dns,433.25,19-01-2019 12:45
