,Hostname,Application,Utilization(kb),Timestamp
706,vdevice-host-name,https,3.41,1/18/2019 17:20
708,vdevice-host-name,dns,0.26,1/18/2019 17:25
713,vdevice-host-name,https,2.31,1/18/2019 17:25
714,vdevice-host-name,https,3.42,1/18/2019 17:30
720,vdevice-host-name,dns,0.18,1/18/2019 17:30
721,vdevice-host-name,https,2.86,1/18/2019 17:35
722,vdevice-host-name,dns,0.07,1/18/2019 17:35
730,vdevice-host-name,https,2.3,1/18/2019 17:40
734,vdevice-host-name,dns,0.32,1/18/2019 17:40
738,vdevice-host-name,dns,0.2,1/18/2019 17:45
739,vdevice-host-name,https,2.41,1/18/2019 17:45
743,vdevice-host-name,https,2.87,1/18/2019 17:50
748,vdevice-host-name,dns,0.09,1/18/2019 17:50
752,vdevice-host-name,https,3.9,1/18/2019 17:55
753,vdevice-host-name,dns,0.05,1/18/2019 17:55
758,vdevice-host-name,dns,0.08,1/18/2019 18:00
759,vdevice-host-name,https,2.31,1/18/2019 18:00
763,vdevice-host-name,dns,0.17,1/18/2019 18:05
765,vdevice-host-name,https,2.86,1/18/2019 18:05
773,vdevice-host-name,dns,0.21,1/18/2019 18:10
774,vdevice-host-name,https,3.35,1/18/2019 18:10
777,vdevice-host-name,https,2.4,1/18/2019 18:15
782,vdevice-host-name,dns,0.25,1/18/2019 18:15
784,vdevice-host-name,dns,0.29,1/18/2019 18:20
786,vdevice-host-name,https,2.86,1/18/2019 18:20
792,vdevice-host-name,https,3.41,1/18/2019 18:25
793,vdevice-host-name,dns,0.26,1/18/2019 18:25
803,vdevice-host-name,https,2.87,1/18/2019 18:30
804,vdevice-host-name,dns,0.18,1/18/2019 18:30
807,vdevice-host-name,https,2.87,1/18/2019 18:35
811,vdevice-host-name,dns,0.18,1/18/2019 18:35
812,vdevice-host-name,dns,0.22,1/18/2019 18:40
815,vdevice-host-name,https,2.85,1/18/2019 18:40
822,vdevice-host-name,https,2.86,1/18/2019 18:45
825,vdevice-host-name,dns,0.2,1/18/2019 18:45
830,vdevice-host-name,dns,0.06,1/18/2019 18:50
831,vdevice-host-name,https,3.41,1/18/2019 18:50
834,vdevice-host-name,dns,0.18,1/18/2019 18:55
835,vdevice-host-name,https,2.86,1/18/2019 18:55
840,vdevice-host-name,https,2.87,1/18/2019 19:00
846,vdevice-host-name,dns,0.1,1/18/2019 19:00
848,vdevice-host-name,dns,0.05,1/18/2019 19:05
852,vdevice-host-name,https,2.86,1/18/2019 19:05
854,vdevice-host-name,https,3.41,1/18/2019 19:10
857,vdevice-host-name,dns,0.28,1/18/2019 19:10
861,vdevice-host-name,https,3.35,1/18/2019 19:15
864,vdevice-host-name,dns,0.12,1/18/2019 19:15
871,vdevice-host-name,dns,0.92,1/18/2019 19:20
872,vdevice-host-name,https,2.39,1/18/2019 19:20
877,vdevice-host-name,dns,0.24,1/18/2019 19:25
879,vdevice-host-name,https,2.87,1/18/2019 19:25
885,vdevice-host-name,https,2.85,1/18/2019 19:30
888,vdevice-host-name,dns,0.17,1/18/2019 19:30
893,vdevice-host-name,dns,0.19,1/18/2019 19:35
894,vdevice-host-name,https,3.41,1/18/2019 19:35
896,vdevice-host-name,dns,0.29,1/18/2019 19:40
899,vdevice-host-name,https,3.56,1/18/2019 19:40
905,vdevice-host-name,https,2.44,1/18/2019 19:45
907,vdevice-host-name,dns,0.17,1/18/2019 19:45
910,vdevice-host-name,https,2.86,1/18/2019 19:50
914,vdevice-host-name,dns,0.21,1/18/2019 19:50
920,vdevice-host-name,dns,0.08,1/18/2019 19:55
923,vdevice-host-name,https,3.41,1/18/2019 19:55
927,vdevice-host-name,dns,0.1,1/18/2019 20:00
930,vdevice-host-name,https,2.86,1/18/2019 20:00
933,vdevice-host-name,https,2.89,1/18/2019 20:05
935,vdevice-host-name,dns,0.05,1/18/2019 20:05
938,vdevice-host-name,dns,0.22,1/18/2019 20:10
939,vdevice-host-name,https,2.87,1/18/2019 20:10
945,vdevice-host-name,dns,0.18,1/18/2019 20:15
950,vdevice-host-name,https,2.87,1/18/2019 20:15
952,vdevice-host-name,https,3.39,1/18/2019 20:20
955,vdevice-host-name,dns,0.05,1/18/2019 20:20
962,vdevice-host-name,dns,0.53,1/18/2019 20:25
965,vdevice-host-name,https,2.88,1/18/2019 20:25
967,vdevice-host-name,https,2.9,1/18/2019 20:30
969,vdevice-host-name,dns,0.12,1/18/2019 20:30
976,vdevice-host-name,https,2.85,1/18/2019 20:35
978,vdevice-host-name,dns,0.09,1/18/2019 20:35
981,vdevice-host-name,https,2.86,1/18/2019 20:40
985,vdevice-host-name,dns,0.33,1/18/2019 20:40
990,vdevice-host-name,https,3.41,1/18/2019 20:45
993,vdevice-host-name,dns,0.17,1/18/2019 20:45
994,vdevice-host-name,https,2.88,1/18/2019 20:50
996,vdevice-host-name,dns,0.09,1/18/2019 20:50
1003,vdevice-host-name,https,2.87,1/18/2019 20:55
1005,vdevice-host-name,dns,0.14,1/18/2019 20:55
1010,vdevice-host-name,dns,0.22,1/18/2019 21:00
1011,vdevice-host-name,https,2.88,1/18/2019 21:00
1016,vdevice-host-name,https,2.41,1/18/2019 21:05
1020,vdevice-host-name,dns,0.05,1/18/2019 21:05
1025,vdevice-host-name,https,3.34,1/18/2019 21:10
1026,vdevice-host-name,dns,0.23,1/18/2019 21:10
1030,vdevice-host-name,https,2.88,1/18/2019 21:15
1033,vdevice-host-name,dns,0.2,1/18/2019 21:15
1040,vdevice-host-name,dns,0.07,1/18/2019 21:20
1041,vdevice-host-name,https,2.4,1/18/2019 21:20
1045,vdevice-host-name,dns,0.21,1/18/2019 21:25
1047,vdevice-host-name,https,3.41,1/18/2019 21:25
1050,vdevice-host-name,dns,0.2,1/18/2019 21:30
1055,vdevice-host-name,https,2.3,1/18/2019 21:30
1057,vdevice-host-name,https,3.44,1/18/2019 21:35
1060,vdevice-host-name,dns,0.05,1/18/2019 21:35
1067,vdevice-host-name,https,3.34,1/18/2019 21:40
1069,vdevice-host-name,dns,0.26,1/18/2019 21:40
1072,vdevice-host-name,dns,0.24,1/18/2019 21:45
1077,vdevice-host-name,https,2.88,1/18/2019 21:45
1078,vdevice-host-name,https,2.39,1/18/2019 21:50
1079,vdevice-host-name,dns,0.11,1/18/2019 21:50
1086,vdevice-host-name,https,2.87,1/18/2019 21:55
1089,vdevice-host-name,dns,0.16,1/18/2019 21:55
1097,vdevice-host-name,https,2.86,1/18/2019 22:00
1098,vdevice-host-name,dns,0.06,1/18/2019 22:00
1099,vdevice-host-name,dns,0.26,1/18/2019 22:05
1104,vdevice-host-name,https,2.85,1/18/2019 22:05
1106,vdevice-host-name,dns,0.25,1/18/2019 22:10
1110,vdevice-host-name,https,3.41,1/18/2019 22:10
1118,vdevice-host-name,https,2.87,1/18/2019 22:15
1119,vdevice-host-name,dns,0.16,1/18/2019 22:15
1125,vdevice-host-name,https,2.88,1/18/2019 22:20
1126,vdevice-host-name,dns,0.18,1/18/2019 22:20
1130,vdevice-host-name,dns,0.27,1/18/2019 22:25
1131,vdevice-host-name,https,3.4,1/18/2019 22:25
1134,vdevice-host-name,dns,0.12,1/18/2019 22:30
1138,vdevice-host-name,https,2.86,1/18/2019 22:30
1145,vdevice-host-name,dns,0.12,1/18/2019 22:35
1147,vdevice-host-name,https,2.9,1/18/2019 22:35
1151,vdevice-host-name,dns,0.22,1/18/2019 22:40
1152,vdevice-host-name,https,3.32,1/18/2019 22:40
1157,vdevice-host-name,dns,0.16,1/18/2019 22:45
1161,vdevice-host-name,https,2.42,1/18/2019 22:45
1162,vdevice-host-name,dns,0.3,1/18/2019 22:50
1163,vdevice-host-name,https,2.85,1/18/2019 22:50
1169,vdevice-host-name,dns,0.05,1/18/2019 22:55
1175,vdevice-host-name,https,2.85,1/18/2019 22:55
1176,vdevice-host-name,https,3.39,1/18/2019 23:00
1180,vdevice-host-name,dns,0.05,1/18/2019 23:00
1183,vdevice-host-name,dns,0.15,1/18/2019 23:05
1185,vdevice-host-name,https,2.85,1/18/2019 23:05
1193,vdevice-host-name,dns,0.25,1/18/2019 23:10
1195,vdevice-host-name,https,3.29,1/18/2019 23:10
1199,vdevice-host-name,https,2.42,1/18/2019 23:15
1203,vdevice-host-name,dns,0.05,1/18/2019 23:15
1205,vdevice-host-name,https,2.87,1/18/2019 23:20
1207,vdevice-host-name,dns,0.32,1/18/2019 23:20
1211,vdevice-host-name,dns,0.29,1/18/2019 23:25
1213,vdevice-host-name,https,2.85,1/18/2019 23:25
1221,vdevice-host-name,https,2.88,1/18/2019 23:30
1223,vdevice-host-name,dns,0.17,1/18/2019 23:30
1226,vdevice-host-name,https,2.86,1/18/2019 23:35
1229,vdevice-host-name,dns,0.16,1/18/2019 23:35
1237,vdevice-host-name,https,2.85,1/18/2019 23:40
1238,vdevice-host-name,dns,0.33,1/18/2019 23:40
1239,vdevice-host-name,https,2.88,1/18/2019 23:45
1240,vdevice-host-name,dns,0.05,1/18/2019 23:45
1246,vdevice-host-name,https,3.37,1/18/2019 23:50
1248,vdevice-host-name,dns,0.13,1/18/2019 23:50
1253,vdevice-host-name,https,2.86,1/18/2019 23:55
1256,vdevice-host-name,dns,0.25,1/18/2019 23:55
1261,vdevice-host-name,dns,0.12,1/19/2019 0:00
1263,vdevice-host-name,https,2.95,1/19/2019 0:00
1270,vdevice-host-name,https,2.89,1/19/2019 0:05
1273,vdevice-host-name,dns,0.18,1/19/2019 0:05
1277,vdevice-host-name,dns,0.27,1/19/2019 0:10
1279,vdevice-host-name,https,3.41,1/19/2019 0:10
1281,vdevice-host-name,dns,0.06,1/19/2019 0:15
1282,vdevice-host-name,https,2.85,1/19/2019 0:15
1289,vdevice-host-name,dns,0.17,1/19/2019 0:20
1292,vdevice-host-name,https,2.85,1/19/2019 0:20
1295,vdevice-host-name,dns,0.33,1/19/2019 0:25
1298,vdevice-host-name,https,3.41,1/19/2019 0:25
1302,vdevice-host-name,dns,0.12,1/19/2019 0:30
1304,vdevice-host-name,https,2.34,1/19/2019 0:30
1309,vdevice-host-name,https,2.86,1/19/2019 0:35
1314,vdevice-host-name,dns,0.19,1/19/2019 0:35
1317,vdevice-host-name,dns,0.22,1/19/2019 0:40
1320,vdevice-host-name,https,2.85,1/19/2019 0:40
1323,vdevice-host-name,dns,0.14,1/19/2019 0:45
1326,vdevice-host-name,https,2.94,1/19/2019 0:45
1335,vdevice-host-name,dns,0.13,1/19/2019 0:50
1336,vdevice-host-name,https,2.94,1/19/2019 0:50
1341,vdevice-host-name,dns,0.05,1/19/2019 0:55
1342,vdevice-host-name,https,2.87,1/19/2019 0:55
1344,vdevice-host-name,https,3.41,1/19/2019 1:00
1350,vdevice-host-name,dns,0.14,1/19/2019 1:00
1352,vdevice-host-name,https,2.33,1/19/2019 1:05
1354,vdevice-host-name,dns,0.12,1/19/2019 1:05
1359,vdevice-host-name,https,3.42,1/19/2019 1:10
1362,vdevice-host-name,dns,0.35,1/19/2019 1:10
1365,vdevice-host-name,dns,0.1,1/19/2019 1:15
1368,vdevice-host-name,https,2.6,1/19/2019 1:15
1375,vdevice-host-name,https,2.85,1/19/2019 1:20
1376,vdevice-host-name,dns,0.17,1/19/2019 1:20
1379,vdevice-host-name,dns,0.27,1/19/2019 1:25
1380,vdevice-host-name,https,2.87,1/19/2019 1:25
1387,vdevice-host-name,https,2.86,1/19/2019 1:30
1390,vdevice-host-name,dns,0.16,1/19/2019 1:30
1396,vdevice-host-name,dns,0.09,1/19/2019 1:35
1398,vdevice-host-name,https,3.39,1/19/2019 1:35
1403,vdevice-host-name,https,3.34,1/19/2019 1:40
1405,vdevice-host-name,dns,0.43,1/19/2019 1:40
1408,vdevice-host-name,dns,0.07,1/19/2019 1:45
1413,vdevice-host-name,https,2.39,1/19/2019 1:45
1417,vdevice-host-name,dns,0.1,1/19/2019 1:50
1418,vdevice-host-name,https,2.87,1/19/2019 1:50
1422,vdevice-host-name,https,2.86,1/19/2019 1:55
1426,vdevice-host-name,dns,0.14,1/19/2019 1:55
1430,vdevice-host-name,https,2.87,1/19/2019 2:00
1432,vdevice-host-name,dns,0.06,1/19/2019 2:00
1440,vdevice-host-name,https,2.84,1/19/2019 2:05
1441,vdevice-host-name,dns,0.05,1/19/2019 2:05
1446,vdevice-host-name,dns,0.27,1/19/2019 2:10
1448,vdevice-host-name,https,3.34,1/19/2019 2:10
